Genus,TARA_099_SRF_0_22_3,TARA_098_SRF_0_22_3,TARA_098_MES_0_22_3,TARA_098_DCM_0_22_3,TARA_096_SRF_0_22_3,TARA_094_SRF_0_22_3,TARA_093_SRF_0_22_3,TARA_093_DCM_0_22_3,TARA_085_SRF_0_22_3,TARA_085_MES_0_22_3,TARA_085_DCM_0_22_3,TARA_084_SRF_0_22_3,TARA_082_SRF_0_22_3,TARA_082_DCM_0_22_3,TARA_078_SRF_0_22_3,TARA_078_MES_0_22_3,TARA_078_DCM_0_22_3,TARA_076_SRF_0_22_3,TARA_076_MES_0_22_3,TARA_076_DCM_0_22_3,TARA_072_SRF_0_22_3,TARA_072_MES_0_22_3,TARA_072_DCM_0_22_3,TARA_070_SRF_0_22_3,TARA_070_MES_0_22_3,TARA_068_SRF_0_22_3,TARA_068_MES_0_22_3,TARA_068_DCM_0_22_3,TARA_067_SRF_0_22_3,TARA_066_SRF_0_22_3,TARA_066_DCM_0_22_3,TARA_065_SRF_0_22_3,TARA_065_MES_0_22_3,TARA_065_DCM_0_22_3,TARA_064_SRF_0_22_3,TARA_064_MES_0_22_3,TARA_064_DCM_0_22_3,TARA_062_SRF_0_22_3,TARA_058_DCM_0_22_3,TARA_057_SRF_0_22_3,TARA_056_SRF_0_22_3,TARA_056_MES_0_22_3,TARA_152_SRF_0_22_3,TARA_152_MES_0_22_3,TARA_151_SRF_0_22_3,TARA_151_DCM_0_22_3,TARA_150_SRF_0_22_3,TARA_150_DCM_0_22_3,TARA_149_SRF_0_22_3,TARA_149_MES_0_22_3,TARA_148_SRF_0_22_3,TARA_148b_MES_0_22_3,TARA_146_SRF_0_22_3,TARA_146_MES_0_22_3,TARA_145_SRF_0_22_3,TARA_145_MES_0_22_3,TARA_142_SRF_0_22_3,TARA_142_MES_0_22_3,TARA_142_DCM_0_22_3,TARA_141_SRF_0_22_3,TARA_140_SRF_0_22_3,TARA_138_SRF_0_22_3,TARA_138_MES_0_22_3,TARA_138_DCM_0_22_3,TARA_137_SRF_0_22_3,TARA_137_MES_0_22_3,TARA_137_DCM_0_22_3,TARA_133_SRF_0_22_3,TARA_133_MES_0_22_3,TARA_133_DCM_0_22_3,TARA_132_SRF_0_22_3,TARA_132_MES_0_22_3,TARA_132_DCM_0_22_3,TARA_128_SRF_0_22_3,TARA_128_DCM_0_22_3,TARA_125_SRF_0_22_3,TARA_124_SRF_0_22_3,TARA_123_SRF_0_22_3,TARA_122_SRF_0_22_3,TARA_122_MES_0_22_3,TARA_122_DCM_0_22_3,TARA_112_SRF_0_22_3,TARA_112_MES_0_22_3,TARA_112_DCM_0_22_3,TARA_111_SRF_0_22_3,TARA_111_MES_0_22_3,TARA_111_DCM_0_22_3,TARA_110_SRF_0_22_3,TARA_110_MES_0_22_3,TARA_110_DCM_0_22_3,TARA_109_SRF_0_22_3,TARA_109_MES_0_22_3,TARA_109_DCM_0_22_3,TARA_102_SRF_0_22_3,TARA_102_MES_0_22_3,TARA_102_DCM_0_22_3,TARA_100_SRF_0_22_3,TARA_100_MES_0_22_3,TARA_100_DCM_0_22_3,TARA_009_SRF_0_22_1_6,TARA_009_DCM_0_22_1_6,TARA_007_SRF_0_22_1_6,TARA_007_DCM_0_22_1_6,TARA_052_SRF_0_22_1_6,TARA_052_DCM_0_22_1_6,TARA_004_SRF_0_22_1_6,TARA_004_DCM_0_22_1_6,TARA_048_SRF_0_22_1_6,TARA_045_SRF_0_22_1_6,TARA_042_SRF_0_22_1_6,TARA_042_DCM_0_22_1_6,TARA_041_SRF_0_22_1_6,TARA_041_DCM_0_22_1_6,TARA_039_MES_0_22_1_6,TARA_039_DCM_0_22_1_6,TARA_038_SRF_0_22_1_6,TARA_038_MES_0_22_1_6,TARA_038_DCM_0_22_1_6,TARA_037_MES_0_22_1_6,TARA_036_SRF_0_22_1_6,TARA_036_DCM_0_22_1_6,TARA_034_SRF_0_22_1_6,TARA_034_DCM_0_22_1_6,TARA_033_SRF_0_22_1_6,TARA_032_SRF_0_22_1_6,TARA_032_DCM_0_22_1_6,TARA_031_SRF_0_22_1_6,TARA_030_SRF_0_22_1_6,TARA_030_DCM_0_22_1_6,TARA_025_SRF_0_22_1_6,TARA_025_DCM_0_22_1_6,TARA_023_SRF_0_22_1_6,TARA_023_DCM_0_22_1_6,TARA_018_SRF_0_22_1_6,TARA_018_DCM_0_22_1_6
Achromobacter,0.027064726,0.024892134,0,0.004109476,0.015351102,0.06183227,0.002243309,0.005898882,0,0,0,0,0,0,0.061157404,0.001193033,0.023888339,0.029467912,0.000867348,0.017620628,0.045785799,0.014888203,0.008014587,0.046449089,0,0.017607184,0,0.017806268,0,0.011365735,0.012687135,0.022792023,0,0.026400855,0.019796895,0,0.012396412,0.031616009,0.036707254,0.023787813,0.034346725,0.007317048,0.007582322,0,0.032538843,0.024959201,0.010512866,0.015168369,0.009138793,0,0.02371816,0.001051746,0.023684455,0,0.008321841,0,0.015532916,0,0.022896508,0.042740024,0.039732926,0.032407032,0,0.014575985,0.050121126,0.000806198,0,0.01204787,0,0.007587665,0.034833365,0.00088669,0.005748173,0.021404943,0.015724301,0.013938901,0.015946309,0.02896066,0.014804808,0.000871437,0.008532696,0.009174312,0.001212121,0.015990218,0.035602331,0,0.022309676,0.039351635,0.014877046,0.028754167,0.0566669,0.000907836,0.051769883,0.063268136,0,0.019584279,0.039190072,0,0.013586957,0.245548164,0.013539692,0.121330414,0.030911105,0.056176154,0.019603999,0.051578069,0.01466798,0.094773799,0.143728922,0.070597624,0.044099488,0.114437922,0.035373651,0,0.016870044,0.068130753,0,0.025900284,0,0.049576996,0.049915643,0.066231286,0.012192148,0.07213654,0.145494856,0.071504903,0.107570904,0.027171073,0.030408038,0.107326739,0.016507439,0.072669943,0.003767614,0.014217087,0.022428294
Acidimicrobiia(undef),1.979888823,1.919460116,1.192621276,3.012246239,1.657187966,1.832270186,0.30733338,0.29011776,0.014091843,0.995139506,0.014811466,0.034177619,0.121654502,0.061913757,2.524017024,1.507993321,2.288730394,1.171029201,1.222093086,1.651933864,2.501685168,1.682366948,4.065399029,0.994988387,0.798198574,0.903835428,1.869660899,1.298076924,1.214584873,2.312927103,1.887845722,3.641839645,1.363154994,3.39927108,3.299660779,1.164428583,3.923464547,3.947689876,4.846406361,3.809023512,3.0696159,1.154002946,2.629982669,0.941435048,4.07060929,3.372372086,3.338239339,3.734789498,3.195254475,1.368259313,3.062183934,0.940260833,2.486867814,1.516252368,1.27086404,1.372830164,3.965462105,1.361944657,3.379723652,3.95928041,5.801870902,3.590879222,1.237579579,4.799871731,5.152451756,1.193979312,1.536652027,1.552167281,1.519727309,2.309901901,2.385614761,1.380576173,3.070482179,2.948044367,3.218240188,5.553103339,3.55048047,3.45558593,3.137693965,1.986004725,2.671800501,2.158465386,1.004848478,2.646851332,2.46003421,1.333447081,3.146556727,3.566944624,2.043405968,2.985770575,4.364127522,1.19562059,4.190772019,3.629167957,1.541214197,5.515645168,2.257511428,1.729593668,2.85326087,1.918132473,4.398316911,3.087331524,3.275289151,2.257176272,3.8960369,1.909485976,3.730556197,3.347956257,3.291312028,4.867143458,7.339918856,4.722537365,5.315218529,2.532001329,4.613957149,4.092193954,2.220844585,3.349105942,2.057537709,2.625981543,3.099761407,5.015094573,1.945518512,3.997807046,4.875232386,2.210365856,2.526310717,2.520639563,3.04270429,0.93967187,2.733012814,1.702201035,4.020043709,3.079121834,2.832003452
Acinetobacter,0.029146628,0.001382896,0.030860818,0.008218953,0.000731005,0.000782687,0.013459856,0.065960231,0,0.002194354,0.000779551,0,0.013824375,0.017335851,0.011467013,0.058458602,0.037538819,0.010249709,0.491786216,0.160054037,0.174240401,0.051431974,0.01803282,0.009778756,0.237444363,0.063092408,0.050250386,0.058760684,0.002463661,0,0,0,0,0.008371003,0,0.001565092,0,0,0,0,0.000981335,0.001045293,0,0.0128211,0.000813471,0.01343957,0.002426046,0.000842687,0.002492398,0.049389039,0.009317849,0.066259992,0,0,0.001188834,0.019321313,0.004568505,0.191481328,0.008959503,0,0.000863759,0.010802344,0.045615914,0.014575985,0.001670704,0.076588815,0.071924792,0,0.100397542,0,0.002824327,0.131230105,0.167655033,0,0.015724301,0.017036435,0.005546542,0.008108985,0.007402404,0.146401401,0.055462525,0.001668057,0.015757576,0.002821803,0.001736699,0.016209529,0.004461935,0.010306381,0.126017327,0.007771397,0.004657553,0.074442588,0.002588494,0,0.021258127,0.005341167,0.022044415,0.233728875,0.135869565,0.008162266,0.003124544,0.001318809,0.001287963,0,0,0.017558492,0.006286277,0.020821517,0.069054119,0.027625157,0.014111836,0.025649879,0.03275338,0.017884974,0.004217511,0,0.012763475,0.044827414,0.002895222,0.003198516,0,0.001540262,0.010450413,0.001442731,0,0.015715363,0.000802768,0.004180165,0,0.003002147,0.001031715,0,0,0.000748268,0.000862627
AEGEAN-169 marine group,5.172485581,6.10272154,2.543528683,2.49582203,7.329785524,5.929636442,3.091280258,2.786953817,0.028183683,0.782287174,0.042875296,0.014859835,0.053915065,0.063152032,2.02329078,1.49964209,2.772184874,1.376023368,1.14056239,1.249596194,1.621580371,1.293920196,2.791079765,1.62571813,0.775417936,1.622795435,1.61147788,1.777065526,0.455777285,3.267648855,3.402689671,3.262515262,1.751175498,3.142989608,2.739997216,1.832722948,2.784234243,2.2864123,2.691166139,1.967450344,2.802692784,1.763408487,3.506282496,1.886533266,2.04750671,2.878947873,2.672694042,2.301378635,2.571324128,2.001170704,2.642880741,2.009886413,3.315823754,2.026037139,2.129202529,1.687055736,2.231257708,1.82042108,2.413092819,2.529432334,2.212951207,2.825713177,2.413676842,2.636795614,3.993818394,2.246067768,3.49892959,3.19335493,1.765053558,1.640019511,3.972886462,2.555440286,2.637453176,2.741778557,3.007272489,2.79707283,4.085028495,1.606737407,2.852701413,2.044390996,3.195494736,2.786488739,1.767272726,2.350562008,5.124998912,2.057757113,3.046609376,4.074768106,2.41533211,3.072033074,4.964951911,2.149756699,4.808127871,4.479922463,1.939804069,2.990163352,5.262900064,2.045127651,3.024068324,5.390496402,2.392359448,5.441405326,1.71814224,3.097976739,3.446176704,4.965760943,3.661407148,3.691152291,2.58631765,3.83068848,2.840007059,3.507127707,2.056912272,1.502337821,3.773266602,2.645502645,1.706658887,2.42665737,1.971646128,3.942170832,3.258493144,1.794405767,2.110983382,2.298270167,2.987263427,2.974132512,1.907376635,3.920994878,5.075608321,4.800432309,3.14363535,6.175713459,5.726772662,3.493662175,2.926029758
AEGEAN-245(undef),0,0,0.133398373,0.078080052,0,0,0,0,0,0.251253524,0,0,0,0,0.003822338,0.053686471,0.023888339,0,0.085000087,0.008810314,0.001271828,0.046018082,0.176320904,0.004889378,0.036799496,0.067494204,0.109164631,0.076566951,0.002463661,0.01846932,0.045673687,0.027676027,0.105053585,0.031552242,0.013911331,0.128337559,0.021073901,0.004311274,0.006292672,0.002973477,0,0.108710422,0.040077989,0.12546362,0.013015537,0.099836806,0.063885879,0.048875856,0.114650316,0.102436526,0.066072018,0.222970131,0.204701365,0.106006647,0.052308717,0.139316839,0.01005071,0.084503497,0.002986501,0,0,0,0.040657663,0.215724573,0,0.037085111,0.071078618,0,0.204033714,0.001083952,0,0.127683345,0.592061774,0.012648375,0.013103584,0.001548767,0.000693318,0.002316853,0,0.128972663,0.100259181,0,0.090909091,0.031039834,0,0.363434714,0.041049804,0.002810831,0.134768531,0.032639866,0,0.173396761,0,0,0.182465588,0.002670584,0,0.285868393,0.032026398,0,0.034369988,0,0.006439813,0,0.006190737,0.003292217,0.104072809,0,0,0,0.007055918,0,0.030133109,0.003832494,0,0,0.010940121,0.000996165,0.026056997,0,0,0,0.231650817,0.001442731,0.001154721,0.029073422,0.000802768,0,0.002534003,0,0.011348864,0,0.015070454,0.011224017,0.00258788
Alphaproteobacteria(undef),34.35034245,37.22203782,15.12379166,33.81140242,37.01516106,37.11971199,25.16880905,16.76408758,20.92209663,9.136192591,15.75628124,16.29157968,13.82022787,17.52221158,34.09525266,19.09448819,29.01295659,27.67677544,10.49751072,19.27549853,31.47010568,18.4424232,34.31044501,24.55934483,6.20947671,21.21665638,16.69958935,23.511396,12.37004188,30.68890563,31.52753105,36.73748474,14.53213028,31.81946966,35.52579482,15.53197482,33.74861315,38.68218726,37.14354635,30.64266741,36.73627601,14.40726691,28.81607453,16.06483815,36.00504351,30.76509552,33.51097378,31.8518893,30.14971006,17.75810348,34.01861876,16.41354648,32.4790012,16.1249211,23.96690285,13.44865104,34.27292247,10.52428125,32.21936843,26.54414525,28.47036875,34.05619018,10.45100255,33.1443314,33.68557347,13.82710275,22.46845885,31.74346068,11.59834508,27.99414665,35.98004143,13.62487699,22.18123989,26.72990856,27.62104436,37.18511635,29.39736817,23.1569436,33.29508756,14.77782716,25.46476529,36.95079231,12.54060605,30.1961153,33.84652792,16.09862218,35.72939255,31.29298229,21.56909076,27.89387381,28.30472819,14.75869707,29.15938653,31.51291614,14.1951142,29.39333248,29.92080339,20.88187701,31.12965838,31.6199377,31.183994,35.66586659,28.18577577,28.70877731,35.16132028,34.16333787,29.26122274,36.91798476,33.72410471,37.97231346,32.65831718,35.55961131,32.2489781,19.0973198,26.57875498,32.05479449,25.33002702,27.66748022,10.22785398,37.56816837,36.18983918,33.2588873,22.01379453,31.16587076,30.06200851,20.11959394,31.32962455,39.99372977,38.51051295,36.54062655,27.84495386,41.21124784,30.25958858,34.04917616,29.7545827
Alteromonas,0.271688213,0.058081644,0.940757183,0.21095312,0.157897047,0.77407741,0.706642441,0.333554986,0.014704533,0.042789903,0.012472815,0.068355238,0.077416508,0.564653439,0.131233599,0.588165115,0.178593775,0.579108532,2.237757388,5.406595989,0.680427843,8.507931351,1.967580997,1.941082997,22.44418743,2.02482613,2.244806016,2.264957265,0.032027593,0.065352977,0.129408778,0.040700043,3.224467319,0.411466986,0.080792729,2.103483895,0.298753542,0.080477113,0.438389496,0.076319234,0.055936095,0.166201516,0.034662046,0.201474428,0.106564707,0.106556589,0.2021705,5.674655343,0.04070917,0.602729201,0.065224939,0.627892302,0.041447794,0.245363698,0.039231535,0.382358625,0.100507107,4.02560276,0.24190658,0.009066065,0.449154812,0.261956844,2.822236769,0.944523805,0.106089714,5.297527391,0.756479577,0.097052287,0.78374855,1.073112568,0.083788364,5.245657434,0.172445177,0.065187781,2.002227609,0.140163395,0.086664726,0.060238172,0.199864901,0.543776631,4.681250465,0.102585485,1.98909091,1.187038515,0.211877291,1.605596553,0.367663461,0.849807926,1.398442285,4.435136036,0.086941,7.479664462,1.129877695,0.113074968,4.979716201,1.20621356,1.360222077,2.565623878,5.164984473,0.840033192,0.431187118,1.995357792,7.826949333,0.301141021,0.360094512,0.690268206,0.342951335,0.053130766,0.157379157,0.165750947,0.635032634,0.401519263,1.181741956,0.737116433,0.185570485,1.149525258,1.329224711,1.1704936,3.747382236,0.071966609,0.336431432,0.046207869,0.585223116,0.236607851,0.076211589,0.233373148,0.077868493,0.128540078,0.046879059,0.27394587,0.543713762,0.177363932,0.655564767,0.243187022,0.207030404
Aquicella,0.018737118,0.023509238,0,0.009588778,0.054094358,0.049309279,0.010094892,0.010188979,0,0.001097177,0.001559102,0.001485983,0.001382438,0.001238275,0.026756364,0.002386065,0.01251294,0.005124854,0,0.004405157,0.012718277,0.005413892,0.010018233,0.017112822,0,0.010270857,0.000866386,0.024928775,0.004927322,0.031255772,0.035523979,0.039072039,0,0.012878466,0.018191741,0,0.016115336,0.034490192,0.023073131,0.015858542,0.00981335,0.006271755,0.048743501,0,0.038233141,0.029759048,0.019408368,0.020224492,0.011631192,0.000914612,0.010164926,0.001051746,0.017763342,0,0.027343193,0,0.007309608,0,0.022896508,0.053101242,0.019866463,0.022504884,0,0.027694371,0.028401971,0,0,0.024765067,0.000809658,0.024930898,0.019770288,0,0.010538316,0.009729519,0.024896809,0.03639602,0.030505983,0.025485381,0.032385517,0.006100058,0.015998805,0.007506255,0.001212121,0.005643606,0.035602331,0,0.029448773,0.041225522,0.017502407,0.031862726,0.035707909,0,0.029767683,0.040383916,0,0.032937197,0.024493795,0,0.021350932,0.019045287,0.019788781,0.035607839,0.030911105,0.012892888,0.013413263,0.024142926,0.023748158,0.0086158,0.019270917,0.034787235,0.042335509,0.029596014,0.026202704,0,0.033740089,0.043487715,0,0.052796733,0,0.057573286,0.065888648,0.047748136,0.008708677,0.056266501,0.018475537,0.010214986,0.020871967,0.018810743,0.017104521,0.015761269,0.023729443,0.038182512,0.016954261,0.021699765,0.017252534
Arctic97B-4 marine group(undef),0,0,0.348428587,0.382181311,0,0.012522992,0.008973238,0.03968339,0,0.089968511,0,0,0,0,0.03949749,0.152708185,0.557394579,0.010249709,0.284490086,0.556518164,0.05596042,0.190839694,0.40473662,0.633174429,0.168226265,0.416703347,0.176742736,0.48076923,0.007390983,0.365124241,0.312103527,0.252340253,0.383784469,0.27559917,0.199574099,0.377187215,0.391726635,0.126464037,0.357633536,0.312215041,0.14131224,0.301044247,0.214471405,0.220706077,0.062637273,0.645099356,0.289508159,0.255334209,0.31487297,0.347552499,0.443868432,0.390197728,0.606491232,0.458568076,0.205668361,0.118978614,0.172689479,0.291267372,0.237924581,0.249964383,0.10451487,0.035107619,0.373852165,0.112235081,0.093559435,0.357951933,0.495857977,0.000669326,0.195127481,0.214622513,0,0.249159861,0.349680497,0.295777389,0.41276289,0.109962443,0.275940486,0.403132384,0.080501142,0.34160327,0.223983276,0.078398665,0.282424242,0.243615671,0.11201709,0.511879879,0.380156881,0.130235173,0.232782007,0.161645049,0.006210071,0.345885684,0.046592894,0.080767833,0.285213202,0.259046602,0.015512737,0.561848257,0.155279503,0,0.154144187,0.001318809,0.048942583,0.045125107,0.103178942,0,0.027240534,0.000717983,0.014453188,0.017393618,0.026459695,0.006905737,0.100880411,0.090702369,0.278355734,0.115967239,0.102107798,0.094635652,0.110018434,0.044779223,0.119797543,0.100117059,0.472010311,0.093777503,0.027713305,0.348881067,0.020871967,0.001045041,0.044978557,0.012759123,0.120710646,0.022170491,0.116796021,0.094281738,0.100927324
Arenicella,0,0.001382896,0.053757553,0.009588778,0.000731005,0,0,0,0.632907515,0.129466882,0.780330374,0.808375003,1.464001327,1.255610934,0.007644675,0.091863517,0.032988659,0.007687281,0.072857217,0.002936771,0.002543655,0.028422933,0,0.198019802,0.044685101,0.265575021,0.16721249,0.190527066,0.039418576,0.042621507,0.045673687,0.026048026,0.103359173,0.011590619,0.006955665,0.07199424,0.018594619,0.008622548,0.001048779,0.010902747,0,0.052264626,0.073656846,0.067768671,0.00732124,0.023039262,0.038816736,0.01179762,0.031570377,0.100607302,0.018635697,0.024190156,0.031297316,0.0845671,0.058252889,0.104741857,0.004568505,0.097089124,0.001991001,0,0.002591278,0.001800391,0.035699411,0.040812757,0.01587169,0.037891308,0.050770441,0.005354609,0.111732748,0.029266706,0,0.121476516,0.027782834,0.085619771,0.039310751,0.032524103,0.076264958,0.207358324,0.038862621,0.103700992,0.021331741,0,0.026666667,0,0.028655534,0.145032632,0.018740128,0.033729973,0.093637876,0.020205631,0.022511508,0.106216864,0.006471235,0.013461305,0.177151057,0.006231362,0.010613978,0.088996764,0.011645963,0,0.003124544,0,0.003863888,0.003683682,0.003095368,0.001097406,0.005587802,0,0,0,0,0,0.001310135,0.039602443,0.002811674,0.007247952,0.071110787,0.004980824,0.027022071,0,0.001996626,0.00616105,0.020900825,0,0,0.00471461,0.001605536,0,0.000633501,0.00225161,0.00206343,0,0.00565142,0.000748268,0.000862627
